iter	RMSE
451	284418.561
452	284253.684
453	284115.0202
454	283987.2462
455	283874.7582
456	283720.757
457	283257.2258
458	283098.6617
459	282992.7167
460	282797.681
461	282697.064
462	282317.1092
463	282162.7768
464	282043.3619
465	281880.1373
466	281711.5483
467	281338.7919
468	280945.4771
469	280837.1356
470	280711.1091
471	280590.7828
472	280533.4306
473	280444.1235
474	280264.5315
475	280116.6394
476	279971.5181
477	279885.9424
478	279723.3063
479	279561.4495
480	279283.9099
481	279137.5477
482	278939.3276
483	278823.4662
484	278665.6076
485	278489.672
486	278342.7827
487	278077.9706
488	277800.0728
489	277502.8663
490	277230.0302
491	276787.8113
492	276721.9726
493	276622.0319
494	276471.5919
495	276230.0458
496	276000.3088
497	275807.9277
498	275588.8831
499	275459.1611
500	275324.0015
501	275015.6285
502	274818.8571
503	274672.9736
504	274600.6923
505	274512.8412
506	274407.8112
507	274295.4244
508	274089.65
509	274023.9041
510	273906.0787
511	273742.746
512	273543.8744
513	273420.7909
514	273334.2332
515	273051.2022
516	272976.4563
517	272886.8634
518	272794.6647
519	272365.3586
520	271700.6502
521	271598.673
522	271423.0404
523	271320.5565
524	271138.1615
525	271028.9566
526	270665.999
527	270571.7283
528	270457.5921
529	270164.0264
530	270038.0864
531	269951.5438
532	269838.1997
533	269509.0043
534	269282.6842
535	268998.5054
536	268786.8304
537	268657.7266
538	268538.6888
539	268325.3024
540	268215.3354
541	268094.5853
542	267966.6872
543	267914.3716
544	267627.3479
545	267513.1674
546	267431.6667
547	267313.9121
548	267210.5484
549	266953.8231
550	266759.3537
551	266671.964
552	266569.8782
553	266406.5494
554	266328.22
555	265809.6994
556	265582.502
557	265191.6022
558	265066.3567
559	264973.1529
560	264874.6541
561	264773.2885
562	264620.3187
563	264558.9181
564	264467.2733
565	264356.5872
566	264230.7112
567	264046.8959
568	263956.3091
569	263816.0872
570	263690.9051
571	263599.1131
572	263451.3684
573	263370.4287
574	263215.9778
575	263118.6774
576	263052.2211
577	262898.105
578	262663.3886
579	262430.1112
580	262064.2738
581	261885.5477
582	261769.9387
583	261703.715
584	261549.196
585	261230.4816
586	261132.3519
587	260927.9685
588	260802.3417
589	260731.8076
590	260378.4018
591	260274.0366
592	260177.1789
593	260053.3438
594	259641.9329
595	259556.7591
596	259421.5907
597	259350.1907
598	259079.8937
599	258606.002
600	258484.7379
601	258375.0703
602	258277.6768
603	258220.2596
604	258111.9309
605	257944.904
606	257877.4213
607	257660.5752
608	257587.7044
609	257387.0341
610	257308.7806
611	256980.4506
612	256909.3558
613	256824.778
614	256639.2934
615	256528.9759
616	256340.0766
617	256223.0261
618	256161.4907
619	256031.2059
620	255890.8508
621	255823.0398
622	255551.7764
623	255457.4876
624	255423.5493
625	255361.0422
626	255192.9176
627	254852.5974
628	254595.0402
629	254447.4011
630	254363.5595
631	254290.9355
632	254220.9844
633	253942.4668
634	253805.2458
635	253717.8337
636	253643.5512
637	253407.728
638	253320.4162
639	253225.0516
640	253141.517
641	253059.3481
642	252968.6434
643	252841.0011
644	252760.125
645	252702.0926
646	252614.9946
647	252446.3812
648	252308.2619
649	252234.4807
650	252163.7585
651	252101.9213
652	252035.1915
653	251933.9195
654	251592.9008
655	251448.7717
656	251322.1619
657	251212.9843
658	251051.3581
659	250925.7392
660	250891.7158
661	250735.2045
662	250502.0469
663	250322.6857
664	250192.0806
665	249921.5606
666	249793.9845
667	249578.6903
668	249481.7085
669	249371.1015
670	249273.0192
671	249190.637
672	249103.3882
673	249063.7045
674	248995.9993
675	248751.959
676	248674.5409
677	248529.2689
678	248307.7977
679	248218.6931
680	248143.113
681	247976.1974
682	247869.0861
683	247717.1654
684	247640.2637
685	247567.8898
686	247450.4844
687	247366.214
688	247290.1439
689	247178.2717
690	247099.3995
691	247056.4443
692	246918.2922
693	246779.4255
694	246642.028
695	246527.1817
696	246455.5285
697	246149.4486
698	246029.5359
699	245828.7096
700	245661.9748
701	245444.2205
702	245379.7897
703	245259.3019
704	245041.4266
705	244679.3353
706	244476.8221
707	244208.7002
708	243989.0187
709	243805.222
710	243625.399
711	243410.0018
712	243258.5567
713	243187.9961
714	243018.0217
715	242931.3604
716	242862.8869
717	242537.7404
718	242442.3062
719	242395.6927
720	242130.0985
721	241940.7339
722	241802.7285
723	241654.4317
724	241575.4588
725	241375.9289
726	241270.9666
727	241211.4947
728	241132.0069
729	241073.8886
730	240922.0959
731	240835.3703
732	240711.9854
733	240452.3843
734	240371.9304
735	240066.6327
736	239851.5625
737	239781.7188
738	239712.1808
739	239577.487
740	239303.335
741	239234.422
742	239107.7337
743	239013.7797
744	238869.1451
745	238639.7091
746	238465.0898
747	238303.9604
748	238204.4972
749	238102.6338
750	238065.4462
751	237815.4841
752	237689.814
753	237582.6582
754	237535.4929
755	237277.8879
756	237220.21
757	237155.1538
758	237061.1328
759	236930.015
760	236818.7968
761	236522.9399
762	236447.023
763	236361.4943
764	236136.7365
765	235973.6562
766	235910.6244
767	235797.8049
768	235674.4685
769	235595.944
770	235535.1215
771	235462.3605
772	235228.2013
773	235171.5117
774	234881.7532
775	234789.8757
776	234687.4912
777	234631.4753
778	234540.2066
779	234506.7828
780	234427.3732
781	234200.6546
782	233989.671
783	233676.0244
784	233568.9465
785	233480.4491
786	233358.4272
787	233247.044
788	233125.7998
789	233045.8477
790	232975.9004
791	232919.9937
792	232740.7855
793	232646.7653
794	232588.8835
795	232509.7396
796	232302.2579
797	232229.7375
798	232002.996
799	231727.0116
800	231379.3682
801	231307.2863
802	231240.7709
803	231041.3952
804	230924.2364
805	230866.989
806	230753.4795
807	230722.748
808	230682.8237
809	230413.1506
810	230325.8524
811	230051.3954
812	229746.2158
813	229644.5319
814	229441.277
815	229372.1508
816	228824.8623
817	228693.3259
818	228585.9983
819	228371.2283
820	228228.0535
821	228089.302
822	228021.3052
823	227944.2386
824	227879.4405
825	227779.6745
826	227626.7793
827	227560.9985
828	227400.6435
829	227313.4214
830	227242.1796
831	227182.4228
832	227128.4247
833	227008.4412
834	226884.7374
835	226773.1263
836	226685.4889
837	226555.0186
838	226434.9353
839	226367.1167
840	226319.6577
841	226262.1252
842	226075.3388
843	226014.1655
844	225964.2912
845	225912.315
846	225650.7327
847	225533.3699
848	225481.1701
849	225377.9073
850	225290.4098
851	225216.2134
852	225141.0587
853	224934.7842
854	224889.5769
855	224790.392
856	224706.187
857	224585.5478
858	224332.7498
859	224269.976
860	224162.6267
861	224071.5403
862	224019.418
863	223945.3954
864	223899.3294
865	223702.5331
866	223615.6458
867	223534.5181
868	223447.6374
869	223381.1874
870	223309.51
871	223196.7479
872	223078.0739
873	222965.9875
874	222916.5399
875	222807.8166
876	222753.7304
877	222559.283
878	222416.5582
879	222172.9603
880	222096.6599
881	222010.4382
882	221876.1036
883	221737.1604
884	221687.0034
885	221491.427
886	221304.0928
887	221223.0896
888	221113.3072
889	221054.4864
890	220977.5909
891	220739.8384
892	220637.1386
893	220509.3625
894	220391.182
895	220261.0022
896	220089.6115
897	220030.3395
898	219948.4264
899	219832.8271
900	219655.3002
901	219520.1939
902	219450.4419
903	219392.6986
904	219283.4875
905	219099.1418
906	218862.413
907	218688.3952
908	218627.2777
909	218568.7323
910	218484.2202
911	218448.2785
912	218375.5213
913	218348.0839
914	218313.1316
915	218207.5668
916	218180.7545
917	218121.9674
918	217994.1524
919	217908.9423
920	217733.8136
921	217625.0906
922	217572.0791
923	217413.4398
924	217355.7608
925	217157.362
926	217085.7548
927	217047.1162
928	216813.8078
929	216774.1019
930	216711.1705
931	216632.5775
932	216579.1318
933	216089.611
934	216008.2713
935	215901.7502
936	215802.251
937	215765.3869
938	215616.9905
939	215551.7169
940	215463.9201
941	215253.6889
942	215038.872
943	214837.8477
944	214766.9131
945	214697.8994
946	214580.2012
947	214413.8989
948	214373.8103
949	214300.4979
950	214254.8351
951	214186.3953
952	214081.9921
953	213992.3537
954	213918.8785
955	213822.2136
956	213705.2648
957	213655.904
958	213585.9937
959	213499.9251
960	213402.2672
961	213318.8485
962	213240.5325
963	213096.38
964	212960.1236
965	212903.7064
966	212796.2791
967	212718.4829
968	212642.8008
969	212574.5351
970	212438.2205
971	212356.5203
972	212288.0047
973	212225.1578
974	212182.5566
975	212051.2948
976	212011.4756
977	211847.08
978	211783.7585
979	211714.4946
980	211636.7181
981	211582.4786
982	211395.4845
983	211302.1846
984	211252.2609
985	211204.4967
986	211062.3833
987	210892.0943
988	210820.3162
989	210754.1871
990	210716.9557
991	210650.9258
992	210592.5208
993	210535.8333
994	210467.5071
995	210304.1676
996	210201.3713
997	210058.0955
998	209889.342
999	209709.1597
